Series,Product_Name,Nominal_Seat_Width,Nominal_Seat_Depth,Front_Caster_Rear_Wheel,Backrest_Height,Armrest_Seat_Dist,Footrest_Seat_Dist,Backrest_Angle,Seat_Plane_Angle,Seat_Height_Front,Leg_Seat_Angle,Max_User_Weight,Heaviest_Part_Mass,Total_Mass,Overall_Width,Overall_Height,Folded_Length,Folded_Width,Folded_Height,Overall_Length
Ergo Lite,Ergo Lite 2 Tall,460,435,7/14,435,210,410-460,15,6,510,100,115,8.5,12.4,680,970,900,330,620,1020
S-Ergo,S-Ergo 305,400,430,7/14,420,210,360-410,11,6,490,100,115,11.2,13.2,605,950,900,310,610,1020
S-Ergo,S-Ergo 105,450,430,6,420,210,360-410,11,6,490,100,115,11.2,13.2,655,950,900,310,610,1020
S-Ergo,S-Ergo 305,450,430,7,420,210,360-410,11,6,490,100,115,11.2,13.2,655,950,900,310,610,1020
VIP,VIP 515,405,415,7/14,460,220,380-430,15,6,490,100,115,12.5,14.5,620,980,910,320,650,1030
MVP,MVP 502,420,420,7/22,490,210,390-440,12,6,500,100,115,13.0,15.0,630,990,920,330,660,1040
VIP,VIP 515,455,415,7/14,460,220,380-430,15,6,490,100,115,12.5,14.5,670,980,910,320,650,1030
VIP,VIP 2,450,465,8/24,560,230,400-450,11,6,510,100,115,14.0,16.5,680,1010,940,340,680,1050
VIP,VIP 2,400,415,8/24,510,230,400-450,11,6,510,100,115,14.0,16.5,630,1010,940,340,680,1050
Ergo Recline,Ergo Recline,415,420,7/14,495,210,360-410,11,6,490,100,115,11.5,13.5,620,960,900,310,620,1020
Ergo Lite,Ergo Lite 2 Tall (410),410,435,7/14,435,210,410-460,15,6,510,100,115,8.5,12.4,680,970,900,330,620,1020
Ergo Lite,Ergo Lite (400),400,420,6/14,420,210,395-420,11,6,490,100,100,10.5,11.7,640,940,900,255,715,1020
S-Ergo,S-Ergo 125 (400),400,430,7/14,430,210,410-460,15,6,500,100,115,10.9,12.0,680,1020,900,280,760,1020
S-Ergo,S-Ergo 115 (450),450,430,6/20,430,210,360-410,11,6,490,100,115,11.1,11.3,610,975,855,300,690,1020
Flexx,Flexx (450),450,460,8/24,430,210-290,360-450,11,6,500,100,130,11.4,11.6,665,975,875,285,875,1020
Flexx,Flexx HD (600),600,490,8/24,510,210-290,360-450,11,6,510,100,170,11.2,11.4,610,975,875,285,760,1020
